target,model,r2_log,aic,n,exact,within_0.1,mae,rmse,max_abs
vertical,physical_quadratic,0.940852773123667,-923.9726983153541,1042.0,0.15163147792706333,0.31285988483685223,0.4244721689059501,0.6427134775336946,5.600000000000001
vertical,physical_relative_range,0.9422387205384388,-948.6796236075525,1042.0,0.09500959692898273,0.2581573896353167,0.43714011516314777,0.6868451339303779,7.300000000000001
vertical,physical_distance_interactions,0.9478050664299617,-1050.2688321257551,1042.0,0.1218809980806142,0.29558541266794625,0.4161228406909789,0.5974995884160839,3.0
vertical,damage_quadratic,0.937736125262683,-872.4642358427368,1042.0,0.12284069097888675,0.28790786948176583,0.4286948176583494,0.6480370478260378,6.399999999999999
vertical,battery_fixed_effect_quadratic,0.9851409987974042,-2001.4163846254764,1042.0,0.19961612284069097,0.5211132437619962,0.24587332053742803,0.40859292282599957,2.5999999999999996
vertical,battery_fixed_effect_distance,0.9858000619902176,-2036.6900741570903,1042.0,0.2255278310940499,0.5393474088291746,0.24539347408829174,0.4335830276228653,2.8000000000000007
horizontal,physical_quadratic,0.8756531111976374,486.7800627453794,1017.0,0.35693215339233036,0.7571288102261554,0.13549655850540807,0.24337838512916998,1.5999999999999996
horizontal,physical_relative_range,0.8826830552820653,427.5947828381991,1017.0,0.3746312684365782,0.7197640117994101,0.12940019665683383,0.2211527855856023,1.3000000000000003
horizontal,physical_distance_interactions,0.8823523583293286,434.4575037968807,1017.0,0.3225172074729597,0.7590953785644051,0.13018682399213374,0.22841422463096728,1.7999999999999998
horizontal,damage_quadratic,0.8749815999149829,490.25739784913776,1017.0,0.3864306784660767,0.7659783677482792,0.12920353982300886,0.23806826648748863,1.6999999999999997
horizontal,battery_fixed_effect_quadratic,0.919709308207644,403.922444106036,1017.0,0.45722713864306785,0.783677482792527,0.10373647984267452,0.19024902172018315,1.4
horizontal,battery_fixed_effect_distance,0.9213046487649852,395.51164860812423,1017.0,0.4552605703048181,0.8072763028515241,0.09655850540806292,0.1680473782516897,1.1
