model,distance_yards,cap_rate_of_fire_per_2_min
first_row_latent_min_distance_cap,2000.0,8.173319100753218
first_row_latent_min_distance_cap,4000.0,5.875538979798436
first_row_latent_min_distance_cap,6000.0,4.571114115965948
first_row_latent_min_distance_cap,8000.0,3.92366177891812
first_row_latent_min_distance_cap,10000.0,3.175530405503843
first_row_latent_min_distance_cap,12000.0,2.9421549184302296
first_row_latent_min_distance_cap,15000.0,2.6496239265396975
first_row_latent_min_distance_cap,18000.0,2.2872765319312887
first_row_latent_min_distance_cap,21000.0,1.6608537525552745
max_rate_times_2_min_distance_cap,2000.0,7.361110373680637
max_rate_times_2_min_distance_cap,4000.0,5.95891356533624
max_rate_times_2_min_distance_cap,6000.0,4.780617907895429
max_rate_times_2_min_distance_cap,8000.0,4.034175381388687
max_rate_times_2_min_distance_cap,10000.0,3.4458290678330257
max_rate_times_2_min_distance_cap,12000.0,3.04788552817778
max_rate_times_2_min_distance_cap,15000.0,2.81623680943045
max_rate_times_2_min_distance_cap,18000.0,2.1417436218928265
max_rate_times_2_min_distance_cap,21000.0,1.6434881907742447
