code,mean_latent_left,true_code_prior,observed_count,sigma_common,epsilon,log_likelihood,iterations
Z,5.5645389445571,0.20613640770521463,41,0.9555373787602316,0.04161623751674955,-275.06566566737195,23
Y,7.835610940906682,0.39074212161688826,71,0.9555373787602316,0.04161623751674955,-275.06566566737195,23
X,9.926065968774456,0.038789287415326536,7,0.9555373787602316,0.04161623751674955,-275.06566566737195,23
W,9.600409617594442,0.1198094882386227,22,0.9555373787602316,0.04161623751674955,-275.06566566737195,23
U,7.966290327197067,0.028413356230531064,5,0.9555373787602316,0.04161623751674955,-275.06566566737195,23
T,9.991275791723314,0.10482199649329302,19,0.9555373787602316,0.04161623751674955,-275.06566566737195,23
S,11.502780716832241,0.05217056662044773,10,0.9555373787602316,0.04161623751674955,-275.06566566737195,23
R,11.586301853239549,0.021665987652350345,4,0.9555373787602316,0.04161623751674955,-275.06566566737195,23
Q,13.506626282430805,0.03745078802732574,7,0.9555373787602316,0.04161623751674955,-275.06566566737195,23
