code,cells,exact,mae,bias,max_abs_error
Q,280,0.9642857142857143,0.03571428571428571,-0.03571428571428571,1.0
R,160,0.75,0.25,-0.25,1.0
S,400,0.9775,0.0225,-0.0175,1.0
T,760,0.9289473684210526,0.07105263157894737,-0.06578947368421052,1.0
U,200,0.9,0.1,0.1,1.0
W,880,0.9147727272727273,0.08522727272727272,-0.003409090909090909,1.0
X,280,0.9571428571428572,0.04285714285714286,0.04285714285714286,1.0
Y,2840,0.9387323943661972,0.06126760563380282,-0.056338028169014086,1.0
Z,1640,0.8567073170731707,0.14329268292682926,0.016463414634146342,1.0
