model,n,parameters,r2,adj_r2,rmse,mae
numeric_rank,7440,6,0.7190797760361002,0.718890833189743,0.9190544938436344,0.6490202470798747
categorical_no_range,7440,17,0.7944737920229188,0.7940307879372885,0.7861100791941659,0.5569962533996635
categorical_with_log_range,7440,18,0.7945312173597714,0.794060593632355,0.7860002494301884,0.5567651533692863
compact_interactions,7440,23,0.8693468098687541,0.8689592717559205,0.6267722629982047,0.4523222290871609
plus_weapon_terms,7440,26,0.8765489129377817,0.8761326360054165,0.6092523586754809,0.44169597693136725
