observed_code,Z,Y,X,W,U,T,S,R,Q
Q,1.4740604819620164e-10,5.429776115547392e-05,0.0027014171026212576,0.004337766594559249,6.700045756315374e-06,0.008207067698588184,0.01742478295189758,0.007345165444022101,6.959922802253994
R,8.134792060602533e-11,2.9964723936949687e-05,0.001489264900218346,0.0023927258808597923,3.6974735673487257e-06,0.004523670413219073,0.009176387714998839,3.981488140402462,0.0008961484093900431
S,0.0001097603343207301,0.13132939026380103,0.03507804463764799,0.12447682752316962,0.011654521298325886,0.09127679509927115,9.592379817971342,0.009531349069619242,0.004163493802501906
T,0.002793049540921782,0.1638381561107888,0.03496621181153481,0.10117536753159424,0.012677926155500318,18.661368120415,0.016913609608635465,0.006194045830849746,7.351299517638761e-05
U,0.012018720158294966,0.08529850564464633,0.00260556420465094,0.012239576542313833,4.881323948731043,0.0063899873193407125,9.384250459926919e-05,2.984130982745262e-05,1.358528327408893e-08
W,0.04566390273530069,0.6708302989409987,0.04225997355411973,21.01449024553408,0.04847055320159767,0.11600140631673506,0.04450158361497559,0.017135379592565513,0.0006466565096274476
X,9.910817775808222e-05,0.04801029545396966,6.86496945246389,0.03644766567546235,0.004064604160616604,0.03258282671036432,0.009890938389332964,0.003794789277845949,0.00014031969076084918
Y,1.1424689450296666,69.16521936367812,0.06970187597698321,0.3045203113723092,0.13925511759833115,0.1736572510347308,0.0039031166365426978,0.0012729660026645955,1.0526706545829098e-06
Z,37.13821856685677,2.4134240986530835,0.16103563994881728,0.6844843659814387,0.18742715884810626,0.4028841959281369,0.009441372306044254,0.0030820229986060215,2.578478997764571e-06
