feature,importance_mean,importance_std
__model_score__,0.9550445375070296,0.0
range_band,0.8623612218997526,0.04082699957194377
speed_threshold_knot,0.6448146056233411,0.03014020346487535
aspect,0.3335154130291433,0.01157075582614426
code,0.15607039891224203,0.0071581667117687105
log_range_yards,0.014679058749592003,0.0016824279862843307
log_damage_rating,0.014230796466806686,0.0016741006982572265
ship_type,0.011815172917856276,0.0011748683001111574
log_shell_size_inch,0.008531344256097093,0.0013088656234901007
fire_control_positions,0.0057188972098645985,0.0007899841772519747
country,0.004873819676644751,0.0015882437119452278
log_rate_of_fire,0.0023681637489155007,0.0004991343029801178
